Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
44,76.7928110607884,90.5083051331294,105.64597965573007,67.24789199372452,77.25736752055226,87.70396599168936,85.03834912810564,100.9496831203022,118.54914745879134,81.88141552307123,97.65937928588366,114.74126245131956,91.21026694281244,108.98045855280422,128.0986268205042
45,72.45815167100982,84.30569778137004,96.81290408221032,64.39752376524403,74.00065239311387,84.01689225551499,78.84289864673748,91.8092830069826,105.43098253021702,77.19629770727657,91.96221503073276,107.98936848440844,86.63362011873964,103.31926738409044,121.27015905669856
46,76.01531377503969,89.30032702096582,103.55058687290312,67.12810736696383,77.29326529892205,87.99765844743035,83.39540214801934,98.30872781654706,114.17216257805342,80.89345668094012,97.02707986028295,115.0370360163205,89.74852360608101,108.40853844346846,129.22653775114432
47,76.22405472113611,89.99949341546177,105.0480321201435,67.58584560185511,78.0017532596075,89.1065604913209,83.72074919002027,99.36670738147949,116.31982707965106,79.00663530677855,94.7036574769291,112.18340018187725,87.89308706741679,106.23946159713924,126.69662975737413
48,78.5068977783979,93.25021765038936,109.65460223396448,71.76714753770315,83.88475776054138,97.47410052355347,84.308067250649,100.58821988890506,118.37155657384407,82.9978296058934,100.67973406104376,120.73917447405954,91.55506129227904,111.8343992903494,134.66078565867656
49,76.56220983194524,90.10406621804728,104.81517121981209,70.25151075826129,81.35645123901298,93.37331034267984,82.34350543819174,97.3149787040418,113.38851712776015,80.24141328671074,96.19199394715062,113.92107939867934,89.34114153862174,107.87918896932456,128.36108331623055
50,80.93495407407207,96.58627822551152,114.81651058467467,76.34680652659841,88.52783224084035,101.58726779692677,85.65651573442138,104.71594774867276,127.49633369339728,88.2781231093377,106.69707618775097,127.4703226445326,92.43946120471348,113.1055529955812,136.5018837974698
51,73.89370711541412,86.94784306265946,101.20211588836182,67.85106201065557,78.89176139578547,90.47316199948168,78.95287449555121,93.54455801801105,109.76589755988124,78.98526660682685,94.20729724732072,110.63473950726888,84.81212739485164,101.50184902205582,119.57514023482145
52,75.72269169460739,88.75589213007343,102.8706017198984,71.467717104967,82.5767983402522,94.2124471418975,79.69408025145948,94.26863606856053,110.22820880083316,81.91649230457782,98.09100351315254,115.8364482257843,86.36441352573345,103.85551936245608,122.96420821323838
53,83.16129399968254,97.8209920128758,113.53863180059092,73.00845694625654,84.4274348991573,96.46091281504017,91.36469466918088,107.68342318947384,125.07412671449816,89.37859281766399,107.23267389067044,126.84295772049136,98.90959264102506,119.11395486267504,141.3175587935995
54,78.81918030145386,92.64485217848834,107.8708177822529,72.68445901170354,83.4028503119309,94.56094254303964,84.62873697260623,100.89325218994465,118.86461301970355,85.22791662763967,101.86992244778924,120.39230239459108,90.18718779474942,109.23287849831446,130.57710618121234
